,商品名,最安値,最高値,平均値,レビュー数,平均評価
1,バンダイスピリッツ HG 1/144 シャア専用ザクII 赤い彗星Ver．,1544,5980,2287,2,5.0
2,HG 1/144 ガンダムバルバトスルプスレクス プラモデル 機動戦士ガンダム 鉄血のオルフェンズ より BANDAI SPIRITS,1187,4766,1802,1,4.0
3,バンダイスピリッツ HGUC 1/144 73 ギャプランTR-5,5635,5635,2629,1,5.0
4,HGBD：R 1/144 ウォドムポッド プラモデル ガンダムビルドダイバーズRe：RISE BANDAI SPIRITS,1832,4354,2348,1,5.0
5,RG 1/144 ZGMF-X42S デスティニーガンダム プラモデル バンダイ,2030,3546,2504,1,5.0
6,MG 1/100 ストライクルージュ オオトリ装備 Ver.RM プラモデル バンダイ,3260,7280,4365,2,4.5
7,1/144 HGUC ゼータガンダム 機動戦士Zガンダム バンダイ,5705,7400,2986,3,5.0
8,フルメタル・パニック!IV 1/48 ARX-8 レーバテイン 最終決戦仕様 グッズ /,12072,14960,9608,0,0.0
9,バンダイスピリッツ HGBD:R 1/144 エルドラブルート,1100,2996,1958,0,0.0
10,1/144 FG MS-06F 量産型ザクII 機動戦士ガンダム バンダイスピリッツ,300,330,392,0,0.0
11,1/144 FG RX-78-2 ガンダム 機動戦士ガンダム バンダイ,498,2980,609,1,5.0
12,HG 1/144 シラヌイアカツキガンダム プラモデル BANDAI SPIRITS,1863,6175,2766,0,0.0
13,MG 1/100 ZGMF-X20A ストライクフリーダムガンダム フルバーストモード,6160,12400,7241,2,4.5
14,30MM 1/144 bEXM-14T シエルノヴァ ホワイト プラモデル BANDAI SPIRITS,1124,2098,1447,0,0.0
15,ENTRY GRADE 1/144 RX-78-2 ガンダム ライトパッケージVer. プラモデル BANDAI SPIRITS,499,2681,700,7,5.0
16,グッドスマイルカンパニー 1/60 フルメタル・パニック！ Invisible Victory MODEROID サベージ クロスボウ,2108,4958,2400,1,5.0
17,バンダイスピリッツ BANDAI SPIRITS RG 1/144 MS-06F 量産型ザク,2340,3546,2444,1,5.0
18,ヘキサギア アーリーガバナーVol.1 1/24 キットブロック コトブキヤ,1859,7460,3259,0,0.0
19,バンダイスピリッツ HG 1/60 フルメタル・パニック！ Invisible Victory レーバテイン Ver．IV,2200,5705,3698,1,5.0
20,MG 1/100 百式 Ver.2.0 プラモデル バンダイ,12280,12289,6896,3,4.33
21,バンダイスピリッツ BANDAI SPIRITS MG 1/100 203 ガンダムF91 ver.2．0,3432,5196,3963,0,0.0
22,RG 機動戦士ガンダムUC 1/144 MSN-06S シナンジュ プラモデル バンダイ,3762,8360,4339,1,5.0
23,BANDAI MG ガンダム Ver.2.0 RX-78-2,4600,9230,5442,1,5.0
24,バンダイ MGリックドム,7000,10280,6301,2,4.0
25,バンダイスピリッツ RG 1/144 フォースインパルスガンダム,2680,4530,3029,1,5.0
26,ガンダムデカール No.72 1/144 逆シャア ネオジオン 汎用 BANDAI SPIRITS,352,880,446,0,0.0
27,バンダイスピリッツ ハローキティ/ザクII SDガンダムクロスシルエット,2145,3320,2545,1,5.0
28,ガンダムデカール No.101 RGゼータガンダム用 BANDAI SPIRITS,352,880,466,0,0.0
29,ガンダムデカール No.84 RG RX-78-2 ガンダム用 BANDAI SPIRITS,352,880,452,0,0.0
30,RG 1/144 ZGMF-X20A ストライクフリーダムガンダム プラモデル バンダイ,2640,4800,3057,3,5.0
